CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
7758-01-2,Potassium bromate,Oxidizing solids - Category 2,Flam over circle,Danger,May intensify fire; oxidizer,"Since it was classified into Class 5.1 and PG II in the United Nations Recommendations on the Transport of Dangerous Goods (UN No.1484(ICSC,2003)), it was classified into Category 2. ",2009.3.31
7758-09-0,potassium nitrite,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1488, Class: 5.1; PG II.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7758-19-2,Sodium chlorite,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1496, Class: 5.1; PG II.","Mar. 23, 2006"
7761-88-8,Silver nitrate,Oxidizing solids - Category 2,,,,"Based on the classification by UN Recommendations on the Transport of Dangerous Goods: Division 5.1, oxidizing substances (no subsidiary risks), Packing group II (UN#1493).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7775-09-9,Sodium chlorate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1495, Class: 5.1; PG II.","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
7775-27-1,Disodium peroxydisulfate,Oxidizing solids - Category 3,Flame over circle,"Warning
",May intensify fire; oxidizer,UNRTDG Class: 5.1; PG III,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7778-39-4,Arsenic acid,Oxidizing solids - Not applicable (aqueous solution),,,,"Classified as ""liquid"" according to GHS definition (aqueous solution)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7778-54-3,Calcium hypochlorite,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,UNRTDG Class: 5.1; PG II,"Feb. 20, 2007 (Environmental Hazards: Mar. 23, 2006)"
7778-74-7,potassium perchlorate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,UNRTDG Class: 5.1; PG II,"Mar. 23, 2006"
7779-88-6,zinc nitrate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1514, Class: 5.1; PG II.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-99-5,silver nitrite,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,No data available. UNRTDG 5.1 (Generic or N.O.S. entry),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7789-09-5,Ammonium dichromate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1439, Class: 5.1; PG II.","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
7789-38-0,Sodium bromate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"Since it was classified into Class 5.1 and PG II in the United Nations Recommendations on the Transport of Dangerous Goods (UN No.1494(ICSC,2006)), it was classified into Category 2.",2009.3.31
7790-98-9,Ammonium perchlorate,Oxidizing solids - Category 2 (except explosives),Flame over circle,Danger,May intensify fire; oxidizer,UNRTDG Class: 5.1; PG II,"Mar. 23, 2006"
