CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
109-87-5,"Methane, dimethoxy-",Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,UNRTDG Class: 3; PG II,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-89-7,Diethylamine,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <-26degC, Boiling point: 55.5degC","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-94-4,Ethyl formate,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: -20degC, Boiling point: 53 to 54degC","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-99-9,Tetrahydrofuran,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC, UNRTDG Class: 3, PG II","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
110-00-9,Furan,Flammable liquids - Category 1,Flame,Danger,Extremely flammable liquid and vapour,"Since the flash point by Merck(14th,2006) is -35degC(closed type) and the boiling point is 31.36degC, it was classified into Category 1.",2009.3.31
110-12-3,"2-Hexanone, 5-methyl-",Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: >=23degC and <=60degC, UNRTDG Class: 3, PGIII","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-19-0,2-Methylpropyl acetate,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Boiling point: >35degC","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
110-43-0,2-Heptanone,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: >=23degC and <=60degC, UNRTDG Class: 3, PGIII","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-49-6,2-Methoxyethyl acetate; Ethylene glycol monomethyl ether acetate,Flammable liquids - Category 3,,,,The flash point is 45degC (c.c.) (ICSC (2002)) which is classified into Category 3. Classified into Class 3 and Packing Group III (UN#1189) (UN Recommendations on the Transport of Dangerous Goods),"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-54-3,Hexane,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC, UNRTDG Class: 3, PG II","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
