CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
55-38-9,Fenthion,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Sep. 20, 2006)"
8002-74-2,Paraffin wax,Corrosive to metals,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
640-19-7,2-fluoroacetamide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
74-98-6,Propane,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 2.1,"Mar. 23, 2006"
13520-83-7,"Uranyl nitrate, hexahydrate ",Corrosive to metals,Classification not possible,-,-,-,"Test methods applicable to solid substances are not available. Its acidic solution is corrosive to metals (HSDB, 2005)","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1308-38-9,Chromium (III) oxide,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
19783-14-3,lead hydroxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
563-12-2,ethion,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-44-1,m-Toluidine,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 6.1,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
112-18-5,"N,N-Dimethyldodecan-1-ylamine",Corrosive to metals,Classification not possible,-,-,-,Classification not possible due to lack of data,2009.3.31
108-45-2,m-Phenylenediamine,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available  ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-31-5,Tin,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
822-16-2,"Stearic acid, sodium salt",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
533-96-0,"Carbonic acid, sodium salt (2:3)",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
12185-10-3,Phosphorus (yellow),Corrosive to metals,Not classified,-,-,-,"UNRTDG No. 1381, Class: 4.2, Subsidiary risks Class:  Class: 6.1, PGI","Mar. 23, 2006"
