CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
77-73-6,Dicyclopentadiene,Corrosive to metals,Not classified,-,-,-,"Non-corrosive to metals (HSDB, 2005)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-01-2,silver chromate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-74-8,ammonium picrate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Corrosive to metals,Classification not possible,-,-,-,No data available on corrosion to metals,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID723,Coal tar naphtha,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-46-7,p-Dichlorobenzene,Corrosive to metals,Classification not possible,,,,Classification not possible due to lack of data.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8018-01-7,"Complex compounds of manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate)",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: thermally decomposes at 190degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
532-27-4,2-chloroacetophenone,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-00-0,2-Furanmethanol,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 6.1,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100784-20-1,"Methyl 3-chloro-5-(4,6-dimethoxy-2-pyrimidinylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 175.5-177.2degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
86-88-4,antu,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-94-4,Ethyl formate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Dec. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
2439-35-2,2-(Dimethylamino)ethyl acrylate,Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#3302) (UN Recommendations on the Transport of Dangerous Goods),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
297-78-9,isobenzan,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7292-16-2,propaphos ,Corrosive to metals,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
57-09-0,Hexadecyltrimethylammonium bromide,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1331-22-2,methylcyclohexanone,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 3,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
79-41-4,Methacrylic acid,Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data, though the substance acts on metals according to ICSC (2004). Those containing stabilizers are classified into Class 8 (UN#2531) (UN Recommendations on the Transport of Dangerous Goods)  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
95-47-6,o-Xylene,Corrosive to metals,Not classified,,,,"Classified into Class 3 (UN Recommendations on the Transport of Dangerous Goods, UN#1307 (Xylene))","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7726-95-6,Bromine,Corrosive to metals,Category 1,"Corrosion
","Warning
",May be corrosive to metals,"It is not necessary to do the examination defined in the United Nations, and is judged as ""Category 1"". Because reacting violently with aluminum is known (Bretherick (J) (1998)).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-69-3,Adiponitrile,Corrosive to metals,Not classified,,,,"Classified into Division 6.1 (UN Recommendations on the Transport of Dangerous Goods, UN#2205)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
61432-55-1,S-1-methyl-1-phenylethyl 1-piperidinecarbothioate,Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data on substances with melting points of <55degC (melting point: 39degC, SRC (2006))
","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-41-2,p-Bromophenol,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-31-9,Hydroquinone,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available  ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2784-94-3,"2,2'-[[4-(methylamino)-3-nitrophenyl]imino]bisethanol",Corrosive to metals,Classification not possible,-,-,-,"Liquid at a test temperature, 55degC. Test methods applicable to solid substances are not available.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1314-80-3,Diphosphorus pentasulfide,Corrosive to metals,Not classified,-,-,-,"UNRTDG Class: 4.3, Subsidiary risks Class:  Class: 4.1","Mar. 23, 2006"
100-61-8,N-Methylaniline,Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#2294) (UN Recommendations on the Transport of Dangerous Goods)   ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
619-15-8,"2,5-Dinitrotoluene",Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#3454 Dinitrotoluene (solid) and 1600 Dinitrotoluene (molten)) (UN Recommendations on the Transport of Dangerous Goods).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
13963-58-1,tripotassium hexacyanocobaltate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
21351-79-1,caesium hydroxide,Corrosive to metals,Classification not possible,-,-,-,"Although it is a caustic substances to the extent that it can be storaged only with the container of silver or platinum (Sittig (47th, 2002)), the corrosion-rate data about steel and aluminum are not obtained. It is estimated to be in Category 1.  ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
99-35-4,"1,3,5-trinitrobenzene",Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 1.1D,"Mar. 23, 2006"
121-44-8,Triethylamine,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 3,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
1327-53-3,Diarsenic trioxide,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
76-15-3,"Ethane, chloropentafluoro-",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to gas substances are not available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
57-24-9,Strychnine,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-00-2,"Lead, tetraethyl-",Corrosive to metals,Classification not possible,-,-,-,No data available,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-72-9,Chlorotrifluoromethane; CFC-13,Corrosive to metals,Classification not possible,,,,Test methods applicable to gaseous substances are not available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
756-79-6,"Phosphonic acid, methyl-, dimethyl ester",Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-87-6,Trichloroacetaldehyde,Corrosive to metals,Classification not possible,,,,No data available. Those containing stabilizers are classified into Division 6.1 (UN#2075) (UN Recommendations on the Transport of Dangerous Goods).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-42-9,m-Chloroaniline,Corrosive to metals,Not classified,,,,"Classified into Division 6.1 (UN#2019 chloroaniline (liquid)) (UN Recommendations on the Transport of Dangerous Goods) 
","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7719-09-7,Thionyl dichloride,Corrosive to metals,Classification not possible,-,-,-,Classification not possible due to lack of data. UNRTDG Class: 8.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
109-64-8,"1,3-Dibromopropane",Corrosive to metals,Classification not possible,,,,No data available ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
17756-81-9,2-chloro-N-(2-cyanoethyl)acetamide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
7774-41-6,"Arsenic acid, hemihydrate",Corrosive to metals,Classification not possible,-,-,-,"There is no data. In addition, HSDB (2005) has description that the anhydride (solution) of the this product ""corrode soft steel and brass, etc."" ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-95-5,"2-Propanone, 1-chloro-",Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-07-3,2-Chloroethanol,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7789-38-0,Sodium bromate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
576-26-1,"2,6-Xylenol",Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#2261) (UN Recommendations on the Transport of Dangerous Goods),"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1310-58-3,Potassium hydroxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
16893-92-8,potassium hexafluoroantimonate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1113-38-8,diammonium oxalate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
302-01-2,Hydrazine,Corrosive to metals,Classification not possible,,,,"No data available. Corrosivity to metals remains uncertain, though classified as ""corrosive substances"" (as the classification based on UN Recommendations on the Transport of Dangerous Goods includes ""skin corrosivity"") (UN#2029).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-44-4,"Ether, bis(2-chloroethyl)-",Corrosive to metals,Not classified,-,-,-,"UNRTDG Class: 6.1, Subsidiary risks Class: 3","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
41198-08-7,O-4-bromo-2-chlorophenyl O-ethyl S-propyl phosphorothioate,Corrosive to metals,Classification not possible,,,,Classification not possible due to lack of data ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-77-9,"4,4'-Methylenedianiline",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
624-91-9,methyl nitrite,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to gas substances are not available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
624-92-0,Dimethyl disulfide,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
50-06-6,"5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione; Phenobarbital",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
52-68-6,"Dimethyl 2,2,2-trichloro-1-hydroxyethylphosphonate; Trichlorfon; DEP",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 77-81degC, Agricultural Chemical Registration Data). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1309-37-1,Diiron trioxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7772-99-8,tin dichloride,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
50922-29-7,Chromium zinc oxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
19287-45-7,diborane(6),Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to gas substances are not available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
96-18-4,"Propane, 1,2,3-trichloro-",Corrosive to metals,Classification not possible,-,-,-,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
3825-26-1,ammonium pentadecafluorooctanoate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
541-09-3,bis(acetato-O)dioxouranium,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1317-36-8,Lead monoxide; Litharge,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Mar. 23, 2006"
62-53-3,Aniline,Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#1547) (UN Recommendations on the Transport of Dangerous Goods),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID492,Poly(oxyethylene) alkyl ether (alkyl C=12-15),Corrosive to metals,Classification not possible,,,,No data available ,"Nov. 20, 2006 (Environmental Hazards: Jan. 25, 2007)"
1304-56-9,Beryllium oxide,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
25155-23-1,Tris(dimethylphenyl) phosphate,Corrosive to metals,Classification not possible,,,,No data available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Corrosive to metals,Not classified,,,,Classified into Class 9 (UN#1990) (UN Recommendations on the Transport of Dangerous Goods).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-48-8,"S,S,S-tributylphosphorotrithioate",Corrosive to metals,Classification not possible,-,-,-,No data available,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
506-77-4,cyanogen chloride,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to gas substances are not available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
591-27-5,m-Aminophenol,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
6046-93-1,"Cupric acetate, monohydrate ",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2274-67-1,"2-Chloro-1-(2,4-dichlorophenyl)vinyl dimethyl phosphate; Dimethylvinphos",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
10026-13-8,Phosphorus pentachloride,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-15-0,Carbon disulfide,Corrosive to metals,Classification not possible,,,,"Test methods applicable to gaseous substances are not available - boiling point: 46degC (ICSC,2004), test temperature: 55degC","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
127-18-4,Tetrachloroethylene,Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#1897) (UN Recommendations on the Transport of Dangerous Goods),"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
1336-21-6,Ammonium hydroxide,Corrosive to metals,Category 1,"Corrosion
","Warning
",May be corrosive to metals,"Although the examination data of metal caustic was not found, 8 which indicates caustic is given to UNRTDG corresponding to UNRTDG No. (2672). Since ICSC (J) (1995) had a description ""it corrodes many metals,"" it was set as Category 1.         ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-02-8,Acrolein,Corrosive to metals,Classification not possible,,,,"Test methods applicable to gaseous substances are not available - boiling point: 53degC (ICSC, 2004), test temperature: 55degC","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1461-22-9,Tributyltin chloride,Corrosive to metals,Classification not possible,,,,No data available  ,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
22373-78-0,"Monensin, monosodium salt",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
26628-22-8,Sodium azide  (Na(N3)),Corrosive to metals,Classification not possible,-,-,-,"Although there is information that it corrodes aluminum strongly, there is no experimental data of the metal corrosion rate. It is not classified into a class 8 according to UNRTDG, either.","Mar. 23, 2006"
7429-90-5,Aluminium,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 4.3,"May 24, 2006 (Environmental Hazards: Mar. 23, 2006)"
148-79-8,"2-(1,3-Thiazol-4-yl)-1H-benzoimidazole",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
563-80-4,"2-Butanone, 3-methyl-",Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 3,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
115-96-8,Tris(2-chloroethyl) phosphate,Corrosive to metals,Classification not possible,,,,No data available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-49-0,p-Toluidine,Corrosive to metals,Not classified,,,,Classified into Division 6.1 (UN#3451 Toluidine (solid)) (UN Recommendations on the Transport of Dangerous Goods),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
51-28-5,"2,4-Dinitrophenol",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
64741-44-2,"Distillates (petroleum), straight-run middle",Corrosive to metals,Not classified,-,-,-,"UNRTDG No.1202, Class: 3","Jul. 24, 2006 (Environmental Hazards: Mar. 23, 2006)"
10265-92-6,Methamidophos,Corrosive to metals,Not classified,,,,"Classification not possible due to lack of data, though the substance acts on (engineering) alloys including mild steel and copper according to ICSC (1999). Classified into Division 6.1 (UN#2783 Organophosphorous Pesticide, solid, toxic (ICSC, 1999)) (UN Recommendation on the Transport of Dangerous Goods). 
","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-42-8,Boron,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
7722-64-7,Potassium permanganate,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
602-01-7,"2,3-Dinitrotoluene",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Corrosive to metals,Classification not possible,-,-,-,"Although considered as the class 8 (caustic substances) in subsidiary risks in UN No.2924 FLAMMABLE LIQUID, CORROSIVE, N.O.S.UNRTDG class 3 (subsidiary risks class 8) (pocket book (1997)), this substance seems to be considered as the class 8 since there is skin corrosivenesses (pocket book (1997)). Since there is no data about corrosion behavior, it cannot be classified.  ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
62-76-0,"Ethandioic acid, disodium salt",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
76-13-1,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",Corrosive to metals,Not classified,-,-,-,"Non-corrosive to metals (Solvent Pocket Book, 1994)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
60-51-5,"O,O-Dimethyl S-(N-methylcarbamoyl)methyl phosphorodithioate; Dimethoate",Corrosive to metals,Classification not possible,,,,"No data available on substances with melting point of <55degC (melting point: 47.5-49.3degC, Agricultural Chemical Registration Data).
","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
141-32-2,Butyl acrylate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7446-09-5,Sulfur dioxide,Corrosive to metals,Classification not possible,-,-,-,"Although there is information that it corrodes aluminum (HSDB (2005)), test methods suitable for gaseous substances are not established.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-81-8,2-(Di-n-butylamino)ethanol,Corrosive to metals,Not classified,,,,"The substance acts on many metals to form hydrogen, according to ICSC (2004). Classified into Division 6.1 (UN#2873 Dibutylaminoethanol) (UN Recommendations on the Transport of Dangerous Goods) ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2275-23-2,"O,O-Dimethyl S-2-[1-(N-methylcarbamoyl)ethylthio]ethyl phosphorothioate; Vamidothion",Corrosive to metals,Not classified,,,,"Classified into Division 6.1 (UN#2783 Organophosphorous Pesticide, solid, toxic (ICSC, 2002)) (UN Recommendation on the Transport of Dangerous Goods). ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
122-34-9,"2-chloro-4,6-bis(ethylamino)-1,3,5-triazine",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 225.2degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
90583-37-2,"Sulfurous acid, lead(2+) salt, basic",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7758-97-6,Lead chromate,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
7758-09-0,potassium nitrite,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-71-4,"1,2-dimethoxyethane",Corrosive to metals,,,,,0.0,2008.03.17
999-81-5,"Ethanaminium, 2-chloro-N,N,N-trimethyl-",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available (Melting point: 236degC),"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
4170-30-3,2-Butenal,Corrosive to metals,Not classified,-,-,-,"UNRTDG Class: 6.1, Subsidiary risks Class: 3","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1067-97-6,tributyltin hydroxide,Corrosive to metals,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
7778-39-4,Arsenic acid,Corrosive to metals,Not classified (aqueous solution),,,,Classified into Division 6.1 (UN#1553 (solution)) (UN Recommendations on the Transport of Dangerous Goods).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10470-01-6,2-Cyclohexylbiphenyl,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-41-7,beryllium,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 6.1 Subsidiary risks Class:  Class: 4.1 (Powdery Beryllium),"Mar. 23, 2006"
2813-95-8,dinoseb acetate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1321-65-9,trichloronaphthalene,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
6988-21-2,dioxacarb,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
13453-07-1,gold trichloride,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available. UNRTDG 8 (Generic or N.O.S. entry),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1111-67-7,copper thiocyanate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
72623-86-0,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Corrosive to metals,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
62-75-9,dimethylnitrosoamine,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-47-3,Chromium,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7439-92-1,Lead,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Aug. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
543-90-8,cadmium di(acetate),Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-48-4,Cobalt,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
598-78-7,"Propionic acid, 2-chloro-",Corrosive to metals,Classification not possible,-,-,-,"Classification not possible due ot lack of data, though it is corrosive liquids.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
79-10-7,Acrylic acid,Corrosive to metals,Classification not possible,,,,"No data available. Those containing stabilizers are classified into Class 3 and Class 8 (UN#2218) (UN Recommendations on the Transport of Dangerous Goods)
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
36536-46-6,4-methyloxetan-2-one; (+/-)-4-methyloxetan-2-one,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
56-36-0,tributyltin acetate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
2079-00-7,Blasticidin S ,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
85-00-7,"1,1'-Ethylene-2,2'-bipyridinium dibromide",Corrosive to metals,Classification not possible,-,-,-,"Test methods applicable to solid substances are not available. The active ingredient is corrosive to metals.(HSDB, 2005)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
22224-92-6,Fenamiphos,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
